COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201310029914,M,Complete professional education,Postgraduate education,0,Executive,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,65,97,4,4,UNIVERSIDAD DEL NORTE-BARRANQUILLA_INDUSTRIAL ENGINEERING
SB11201310029949,F,Complete Secundary,Complete professional education,0,Independent professional,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,77,94,4,4,UNIVERSIDAD DEL NORTE-BARRANQUILLA_INDUSTRIAL ENGINEERING
SB11201310030118,M,Complete Secundary,Complete Secundary,0,Entrepreneur ,Stratum 5,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,67,70,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_ELECTRIC ENGINEERING AND TELECOMMUNICATIONS
SB11201310030130,F,Complete professional education,Complete professional education,0,Independent professional,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,74,95,4,3,UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN_CHEMICAL ENGINEERING
SB11201310030252,F,Complete Secundary,Complete technique or technology,0,Independent professional,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,65,88,2,2,UNIVERSIDAD DE IBAGUE-IBAGUE_INDUSTRIAL ENGINEERING
SB11201310030481,M,Complete professional education,Complete professional education,0,Home,Stratum 6,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,60,86,3,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201310030493,M,Complete technique or technology,Incomplete technical or technological,0,Small entrepreneur ,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, less than 20 hours per week",PRIVATE,ACADEMIC,82,99,3,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201310030754,M,Postgraduate education,Postgraduate education,0,Executive,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,94,99,4,4,FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C._CHEMICAL ENGINEERING
SB11201310030860,F,Complete Secundary,Complete professional education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,58,69,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201310030904,M,Complete professional education,Complete technique or technology,0,Home,Stratum 2,It is not classified by the SISBEN,Seven,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,61,97,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310030960,F,Incomplete Professional Education,Incomplete technical or technological,0,Home,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,54,76,3,4,UNIVERSIDAD EIA-MEDELLIN_INDUSTRIAL ENGINEERING
SB11201310030984,M,Complete professional education,Complete professional education,0,Independent,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,58,80,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310031045,F,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Six,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,67,88,2,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201310031053,M,Postgraduate education,Complete professional education,0,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,94,98,4,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201310031055,F,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,94,99,4,2,UNIVERSIDAD DEL VALLE-CALI_CHEMICAL ENGINEERING
SB11201310031104,M,Postgraduate education,Complete professional education,0,Executive,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,69,82,4,4,UNIVERSIDAD DE LA SABANA-CHIA_CHEMICAL ENGINEERING
SB11201310031217,M,Complete professional education,Complete professional education,0,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,54,52,2,2,UNIVERSIDAD ECCI-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310031338,M,Incomplete Professional Education,Complete technique or technology,0,Independent professional,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,67,89,4,2,UNIVERSIDAD DE SAN BUENAVENTURA-CALI_INDUSTRIAL ENGINEERING
SB11201310031520,M,Complete professional education,Complete Secundary,0,Home,Stratum 2,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,86,100,4,2,UNIVERSIDAD DEL VALLE-CALI_CHEMICAL ENGINEERING
SB11201310031543,M,Complete professional education,Complete professional education,0,Independent professional,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,69,44,4,4,UNIVERSIDAD EAFIT--MEDELLIN_CIVIL ENGINEERING
SB11201310032029,M,Postgraduate education,Postgraduate education,0,Entrepreneur ,Stratum 6,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,69,98,2,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310032041,M,Complete professional education,Postgraduate education,0,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,56,79,4,2,UNIVERSIDAD DE SAN BUENAVENTURA-CALI_INDUSTRIAL ENGINEERING
SB11201310032069,M,Complete professional education,Complete primary ,0,Home,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,47,84,4,2,UNIVERSIDAD SANTIAGO DE CALI-CALI_INDUSTRIAL ENGINEERING
SB11201310032089,M,Complete Secundary,Complete Secundary,0,Home,Stratum 3,Level 2,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,53,51,1,2,UNIDAD CENTRAL DEL VALLE DEL CAUCA-TULUA_INDUSTRIAL ENGINEERING
SB11201310033075,M,Complete Secundary,Complete professional education,0,Retired,Stratum 2,It is not classified by the SISBEN,Three,No,Yes,No,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,62,80,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310033242,F,Complete professional education,Postgraduate education,0,Independent professional,Stratum 5,It is not classified by the SISBEN,Three,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,56,76,3,4,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310034217,M,Incomplete Secundary,Complete Secundary,0,Home,Stratum 2,Level 2,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,86,95,2,2,UNIVERSIDAD DEL VALLE-CALI_ELECTRIC ENGINEERING
SB11201310034789,M,Complete Secundary,Complete professional education,0,Home,Stratum 5,It is not classified by the SISBEN,Once,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,69,93,3,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201310034837,M,Complete professional education,Complete professional education,0,Independent professional,Stratum 6,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,81,97,4,4,UNIVERSIDAD DEL NORTE-BARRANQUILLA_INDUSTRIAL ENGINEERING
SB11201310036514,M,Complete technique or technology,Incomplete technical or technological,0,Home,Stratum 2,It is not classified by the SISBEN,Four,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,67,86,2,2,UNIVERSIDAD DE IBAGUE-IBAGUE_ELECTRONIC ENGINEERING
SB11201310037254,F,Complete Secundary,Complete Secundary,0,Independent,Stratum 2,It is not classified by the SISBEN,Seven,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,53,62,2,3,FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310037261,M,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,"Yes, less than 20 hours per week",PRIVATE,ACADEMIC,59,79,4,2,UNIVERSIDAD PONTIFICIA BOLIVARIANA-MONTERIA_CIVIL ENGINEERING
SB11201310038111,M,Postgraduate education,Postgraduate education,0,Other occupation,Stratum 4,It is not classified by the SISBEN,Three,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,74,99,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310038128,F,Complete technique or technology,Postgraduate education,0,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,74,98,2,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201310038602,M,Complete professional education,Complete professional education,0,Independent professional,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,100,100,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201310040049,F,Incomplete primary ,Complete primary ,0,Home,Stratum 1,Level 1,Three,No,No,No,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,56,82,2,2,UNIVERSIDAD SANTO TOMAS-TUNJA_CIVIL ENGINEERING
SB11201310040805,F,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Two,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,72,64,4,1,UNIVERSIDAD DEL CAUCA-POPAYAN_INDUSTRIAL AUTOMATIC ENGINEERING
SB11201310040866,M,Complete Secundary,Incomplete Secundary,0,Home,Stratum 3,Level 1,Four,No,No,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,53,26,4,2,FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310041192,M,Complete professional education,Incomplete technical or technological,0,Independent,Stratum 3,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,TECHNICAL,61,93,4,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201310041405,M,Complete Secundary,Complete Secundary,0,Home,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,65,94,2,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201310041539,M,Complete primary ,Complete primary ,0,Home,Stratum 3,Level 1,Four,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,40,63,2,2,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201310041683,M,Postgraduate education,Postgraduate education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,74,99,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C._CHEMICAL ENGINEERING
SB11201310041758,M,Complete professional education,Complete professional education,0,Home,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,69,91,4,2,UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C._MECHANICAL ENGINEERING
SB11201310041843,M,Complete professional education,Complete professional education,0,Retired,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,77,86,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310042255,M,Complete Secundary,Complete Secundary,0,Home,Stratum 2,It is not classified by the SISBEN,Four,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,51,42,2,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201310042270,M,Postgraduate education,Complete technique or technology,0,Home,Stratum 2,Level 2,Five,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL,65,81,3,2,UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201310042739,M,Complete professional education,Complete professional education,0,Home,Stratum 6,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,94,89,4,4,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C._MECHANICAL ENGINEERING
SB11201310042847,M,Complete technique or technology,Complete technique or technology,0,Home,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL,71,74,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_ELECTRIC ENGINEERING AND TELECOMMUNICATIONS
SB11201310043287,M,Complete professional education,Postgraduate education,0,Executive,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL,77,100,4,2,UNIVERSIDAD DEL VALLE-CALI_ELECTRONIC ENGINEERING
SB11201310043342,F,Postgraduate education,Postgraduate education,0,Home,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,53,45,4,4,UNIVERSIDAD DE LA SABANA-CHIA_CHEMICAL ENGINEERING
SB11201310043385,M,Complete professional education,Complete professional education,0,Independent professional,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,63,71,4,2,CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO_INDUSTRIAL ENGINEERING
SB11201310045347,M,Incomplete Professional Education,Complete professional education,0,Executive,Stratum 2,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,73,89,3,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201310045409,M,Incomplete primary ,Complete Secundary,0,Auxiliary or Administrative,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, less than 20 hours per week",PRIVATE,TECHNICAL,60,95,2,4,UNIVERSIDAD ICESI-CALI_INDUSTRIAL ENGINEERING
SB11201310045507,M,Postgraduate education,Postgraduate education,0,Executive,Stratum 6,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,63,93,4,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_MECHANICAL ENGINEERING
SB11201310046125,M,Postgraduate education,Postgraduate education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,59,93,4,2,"CORPORACION UNIVERSIDAD DE LA COSTA, CUC-BARRANQUILLA_CIVIL ENGINEERING"
SB11201310046663,F,Incomplete Professional Education,Complete professional education,0,Technical or professional level employee,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,TECHNICAL,74,100,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_ELECTRIC ENGINEERING AND TELECOMMUNICATIONS
SB11201310047659,F,Complete professional education,Complete professional education,0,Home,Stratum 5,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,59,54,4,4,UNIVERSIDAD DE LA SABANA-CHIA_INDUSTRIAL ENGINEERING
SB11201310048705,M,Not sure,Complete technique or technology,0,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL,81,98,3,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201310049075,M,Not sure,Not sure,0,Executive,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,58,69,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201310049421,F,Complete Secundary,Complete Secundary,0,Home,Stratum 3,Level 2,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,53,46,2,2,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-MEDELLIN_INDUSTRIAL ENGINEERING
SB11201310049693,F,Not sure,Complete Secundary,0,Home,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,58,62,3,2,"CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO -""UDI""-BUCARAMANGA_INDUSTRIAL ENGINEERING"
SB11201310051298,M,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Three,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,69,89,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310051303,M,Postgraduate education,Postgraduate education,0,Executive,Stratum 3,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,77,27,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310051308,M,Postgraduate education,Postgraduate education,0,Entrepreneur ,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,60,99,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_INDUSTRIAL ENGINEERING
SB11201310051314,M,Incomplete Secundary,Complete professional education,0,Auxiliary or Administrative,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,77,92,3,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
SB11201310051319,M,Postgraduate education,Complete professional education,0,Executive,Stratum 5,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,55,52,4,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310051320,M,Postgraduate education,Complete professional education,0,Independent professional,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,PRIVATE,ACADEMIC,74,93,2,3,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI_INDUSTRIAL ENGINEERING
SB11201310054702,M,Not sure,Postgraduate education,0,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,67,93,4,4,UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C._ELECTRONIC ENGINEERING
SB11201310054713,M,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,77,99,3,2,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C._ELECTRIC ENGINEERING
SB11201310055326,F,Incomplete Professional Education,Complete professional education,0,Independent,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,60,68,2,3,"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C._INDUSTRIAL ENGINEERING"
SB11201310055365,F,Complete professional education,Complete professional education,0,Auxiliary or Administrative,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,67,58,4,4,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310057099,M,Complete professional education,Complete professional education,0,Auxiliary or Administrative,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,Not apply,43,15,3,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C._CIVIL ENGINEERING
SB11201310057235,M,Postgraduate education,Complete professional education,0,Home,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,PRIVATE,ACADEMIC,81,95,4,4,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201310057354,M,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 5,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,77,95,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C._CHEMICAL ENGINEERING
SB11201310057355,M,Complete professional education,Postgraduate education,0,Executive,Stratum 6,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,72,98,4,4,"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C._CIVIL ENGINEERING"
SB11201310057544,M,Complete professional education,Complete professional education,0,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,67,81,4,2,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI_CIVIL ENGINEERING
